Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Contribution to Provident and Other Funds,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Consumed (Quantity),Fuels Consumed - Electricity Produced (Quantity),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Electricity Sold (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Mandays - Workers,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Old Age Benefits,Other Benefits,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Social Security Benefits,Supervisory and Managerial Staff,Total Emoluments,Total Emoluments including Employers' Contribution,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital,Workmen and Staff Welfare Expenses
2006 - 2007,All India,500.12,428.22,352.18,1280.52,347.87,,2076.5,128453.0,21836.74,29.0,12.034,1281.5662,,,2687083.0,,226.356,548.7417,2068.7,5576.72,4296.21,12292.14,4917.85,11010.75,1601.58,52.93,32616.84,33259.18,2219.71,8253.09,10215.67,873.132,6818.0,6439.0,2622.51,,744.679,665228.0,0.0,319925.0,345303.0,79451.0,,,70542.0,15932.28,700.8,10780.1,31325.89,55742.02,2542.59,360.98,74.26,,57911.0,5009.71,5710.51,50615.46,876.646,3514.0,62907.6,553.55,1009.17,4661.85,3099.13,9489.15,
2007 - 2008,All India,541.67,684.87,247.48,1474.02,307.6,,1323.02,129492.0,13032.65,78.0,35.9622,717.809,,,1442706.0,,146.2412,443.2787,1343.28,4790.89,3316.87,11473.71,4218.38,7634.16,1268.62,65.66,22927.06,23807.14,1993.86,8373.02,10150.69,815.861,5134.0,4995.0,2414.09,,686.369,604405.0,0.0,298394.0,306011.0,81965.0,,,73679.0,9434.65,663.22,9894.41,19334.16,41424.52,2618.94,509.03,92.88,,55813.0,5090.87,5754.09,36693.82,818.139,2279.0,48167.53,563.0,1108.99,4783.27,3111.28,6301.51,
2008 - 2009,All India,855.54,371.83,232.3,1459.67,359.66,,1364.69,115506.0,13156.82,22.0,16.3297,635.4609,,,1219877.0,,104.4995,417.1966,1173.49,3892.87,2433.2,12264.65,3094.14,7577.18,1508.87,63.04,24377.33,26808.1,1068.5,8650.45,10899.95,795.313,5761.0,5490.0,2371.18,,679.807,591103.0,,280409.0,310694.0,88704.0,,,63499.0,9936.92,753.91,11220.52,22324.36,45961.01,2049.19,740.63,101.66,,52007.0,5847.33,6601.24,41492.41,797.878,2565.0,53757.06,664.74,1370.74,5487.66,3452.18,9167.54,
2009 - 2010,All India,534.77,868.99,426.73,1830.48,386.32,,1521.91,119815.0,14977.31,87.0,37.3684,859.4592,,,1631438.0,,105.2833,475.1682,1477.28,3906.31,2075.82,13484.59,2764.9,9041.34,1583.09,80.67,28215.23,32679.22,553.92,9626.9,11962.68,862.689,6144.0,5739.0,2585.29,,742.874,633124.0,,314282.0,318842.0,109750.0,,,69808.0,10525.07,754.09,13237.92,25439.8,52487.42,2199.96,752.7,98.33,,50007.0,6672.84,7426.93,50222.36,865.062,2374.0,63706.95,775.73,1458.67,6286.52,4052.12,10462.49,
2010 - 2011,All India,579.65,1381.95,894.69,2856.29,436.83,,1669.35,126395.0,17207.81,168.0,59.4289,891.5021,,,1598701.0,,109.9576,556.5973,1617.48,5615.73,2759.45,15433.66,3214.26,10157.8,1771.15,225.71,32897.46,40539.3,1090.09,11132.4,13764.31,870.915,9226.0,6258.0,2642.15,,744.52,636842.0,,329469.0,307373.0,107678.0,,,70861.0,13059.2,945.41,15689.65,31204.14,65065.76,2073.44,860.78,112.79,,55534.0,8113.54,9058.95,61127.96,872.962,2048.0,76561.62,943.84,1892.01,7676.72,4840.87,13996.33,
2011 - 2012,All India,144.86,-13.86,51.67,182.67,488.24,,1575.02,128557.0,16772.58,33.0,30.5616,831.7188,,,1406828.0,,83.153,550.6725,1496.11,3000.33,2817.65,17003.33,3324.76,9104.8,2337.55,230.28,32802.77,39952.22,1242.63,12278.98,15428.3,920.869,9168.0,6283.0,2682.89,,792.312,682134.0,,338819.0,343315.0,110179.0,,,64815.0,15434.32,1093.01,16030.19,31119.54,65808.04,2362.56,811.79,101.22,,63742.0,8823.42,9916.43,60926.94,922.725,1855.0,77930.27,949.01,2053.26,8335.18,5332.91,14346.96,
2012 - 2013,All India,1128.24,2743.03,436.86,4308.13,517.32,,1693.86,129443.0,24121.36,74.0,39.7569,1044.3967,,,1600192.0,,97.9796,712.9024,1895.03,11977.74,7669.62,19148.42,8359.3,9658.05,2311.55,277.99,43846.89,48095.3,5975.75,14722.2,17454.56,920.418,9275.0,6494.0,2749.07,,790.975,693307.0,,356589.0,336718.0,97668.0,,,71491.0,13230.98,1227.95,19725.53,38266.92,79406.38,3050.88,796.54,102.88,,57952.0,10443.37,11671.32,71280.11,922.95,2533.0,90428.53,1106.9,2393.6,9926.06,6425.56,14145.56,
2013 - 2014,All India,440.24,1213.71,346.5,2000.45,570.8,,1856.19,152214.0,19324.88,50.0,26.0273,1289.4089,,,1856263.0,,84.5206,724.8874,2124.85,5156.23,3155.79,24493.51,4051.4,10527.04,2357.87,322.1,39112.3,64275.01,1299.6,19745.59,22637.32,976.064,9525.0,7048.0,2944.06,,823.85,720475.0,,367461.0,353014.0,103375.0,,,85769.0,14635.09,1355.5,19787.41,35387.37,110499.5,5860.1,968.1,112.14,,66445.0,12529.99,13885.49,100459.15,978.709,2645.0,124952.66,1574.81,3088.56,11959.18,7295.81,16062.49,
2014 - 2015,All India,677.21,548.02,260.2,1485.43,693.15,,2269.25,141640.0,20267.15,23.0,20.9691,1293.1351,,,1763235.0,,93.8101,687.9143,2095.83,4856.9,3371.46,24417.63,3956.64,11025.08,2450.78,291.07,38545.88,50388.98,1102.21,19249.35,22148.38,986.592,9856.0,6530.0,2971.25,,844.952,754064.0,,367813.0,386251.0,90888.0,,,81338.0,13748.19,1611.37,18278.75,33767.32,87063.36,4079.55,854.45,115.13,,60302.0,13558.41,15169.78,77421.3,988.651,2061.0,101838.93,1609.41,3056.48,12865.28,8199.39,13500.17,
2015 - 2016,All India,488.98,814.65,435.82,1739.45,829.55,,2520.01,154155.0,24050.12,1425.0,21.6466,1562.785,,,2099789.0,,106.3112,622.1181,2312.86,5468.85,3729.4,31145.71,4385.01,12911.83,2410.64,351.48,45943.69,57461.83,1209.39,25415.84,28625.69,1080.792,10197.0,7193.0,3286.34,,926.637,825873.0,,402370.0,423503.0,100765.0,,,90375.0,14951.76,1918.23,21893.57,50396.02,103917.84,6882.75,1313.38,162.69,,63780.0,16614.87,18533.1,92250.93,1083.149,2355.0,123396.64,1834.94,3875.85,15785.31,10074.52,26345.9,
