Date,Value_2016base
01-12-2003,37.64698824
01-01-2004,37.79697624
01-02-2004,37.79697624
01-03-2004,37.79697624
01-04-2004,37.79697624
01-05-2004,38.09695224
01-06-2004,38.39692825
01-07-2004,38.77189825
01-08-2004,39.14686825
01-09-2004,39.22186225
01-10-2004,39.44684425
01-11-2004,39.37185025
01-12-2004,39.07187425
01-01-2005,39.44684425
01-02-2005,39.37185025
01-03-2005,39.37185025
01-04-2005,39.67182625
01-05-2005,39.52183825
01-06-2005,39.67182625
01-07-2005,40.34677226
01-08-2005,40.49676026
01-09-2005,40.64674826
01-10-2005,41.09671226
01-11-2005,41.47168227
01-12-2005,41.24670026
01-01-2006,41.31944444
01-02-2006,41.31944444
01-03-2006,41.31944444
01-04-2006,41.66666667
01-05-2006,42.01388889
01-06-2006,42.70833333
01-07-2006,43.05555556
01-08-2006,43.05555556
01-09-2006,43.40277778
01-10-2006,44.09722222
01-11-2006,44.09722222
01-12-2006,44.09722222
01-01-2007,44.09722222
01-02-2007,44.44444444
01-03-2007,44.09722222
01-04-2007,44.44444444
01-05-2007,44.79166667
01-06-2007,45.13888889
01-07-2007,45.83333333
01-08-2007,46.18055556
01-09-2007,46.18055556
01-10-2007,46.52777778
01-11-2007,46.52777778
01-12-2007,46.52777778
01-01-2008,46.52777778
01-02-2008,46.875
01-03-2008,47.56944444
01-04-2008,47.91666667
01-05-2008,48.26388889
01-06-2008,48.61111111
01-07-2008,49.65277778
01-08-2008,50.34722222
01-09-2008,50.69444444
01-10-2008,51.38888889
01-11-2008,51.38888889
01-12-2008,51.04166667
01-01-2009,51.38888889
01-02-2009,51.38888889
01-03-2009,51.38888889
01-04-2009,52.08333333
01-05-2009,52.43055556
01-06-2009,53.125
01-07-2009,55.55555556
01-08-2009,56.25
01-09-2009,56.59722222
01-10-2009,57.29166667
01-11-2009,58.33333333
01-12-2009,58.68055556
01-01-2010,59.72222222
01-02-2010,59.02777778
01-03-2010,59.02777778
01-04-2010,59.02777778
01-05-2010,59.72222222
01-06-2010,60.41666667
01-07-2010,61.80555556
01-08-2010,61.80555556
01-09-2010,62.15277778
01-10-2010,62.84722222
01-11-2010,63.19444444
01-12-2010,64.23611111
01-01-2011,65.27777778
01-02-2011,64.23611111
01-03-2011,64.23611111
01-04-2011,64.58333333
01-05-2011,64.93055556
01-06-2011,65.625
01-07-2011,67.01388889
01-08-2011,67.36111111
01-09-2011,68.40277778
01-10-2011,68.75
01-11-2011,69.09722222
01-12-2011,68.40277778
01-01-2012,68.75
01-02-2012,69.09722222
01-03-2012,69.79166667
01-04-2012,71.18055556
01-05-2012,71.52777778
01-06-2012,72.22222222
01-07-2012,73.61111111
01-08-2012,74.30555556
01-09-2012,74.65277778
01-10-2012,75.34722222
01-11-2012,75.69444444
01-12-2012,76.04166667
01-01-2013,76.73611111
01-02-2013,77.43055556
01-03-2013,77.77777778
01-04-2013,78.47222222
01-05-2013,79.16666667
01-06-2013,80.20833333
01-07-2013,81.59722222
01-08-2013,82.29166667
01-09-2013,82.63888889
01-10-2013,83.68055556
01-11-2013,84.375
01-12-2013,82.98611111
01-01-2014,82.29166667
01-02-2014,82.63888889
01-03-2014,82.98611111
01-04-2014,84.02777778
01-05-2014,84.72222222
01-06-2014,85.41666667
01-07-2014,87.5
01-08-2014,87.84722222
01-09-2014,87.84722222
01-10-2014,87.84722222
01-11-2014,87.84722222
01-12-2014,87.84722222
01-01-2015,88.19444444
01-02-2015,87.84722222
01-03-2015,88.19444444
01-04-2015,88.88888889
01-05-2015,89.58333333
01-06-2015,90.625
01-07-2015,91.31944444
01-08-2015,91.66666667
01-09-2015,92.36111111
01-10-2015,93.40277778
01-11-2015,93.75
01-12-2015,93.40277778
01-01-2016,93.40277778
01-02-2016,92.70833333
01-03-2016,93.05555556
01-04-2016,94.09722222
01-05-2016,95.48611111
01-06-2016,96.18055556
01-07-2016,97.22222222
01-08-2016,96.52777778
01-09-2016,96.18055556
01-10-2016,96.52777778
01-11-2016,96.18055556
01-12-2016,95.48611111
01-01-2017,95.13888889
01-02-2017,95.13888889
01-03-2017,95.48611111
01-04-2017,96.18055556
01-05-2017,96.52777778
01-06-2017,97.22222222
01-07-2017,98.95833333
01-08-2017,98.95833333
01-09-2017,98.95833333
01-10-2017,99.65277778
01-11-2017,100
01-12-2017,99.30555556
01-01-2018,100
01-02-2018,99.65277778
01-03-2018,99.65277778
01-04-2018,100
01-05-2018,100.3472222
01-06-2018,101.0416667
01-07-2018,104.5138889
01-08-2018,104.5138889
01-09-2018,104.5138889
01-10-2018,104.8611111
01-11-2018,104.8611111
01-12-2018,104.5138889
01-01-2019,106.5972222
01-02-2019,106.5972222
01-03-2019,107.2916667
01-04-2019,108.3333333
01-05-2019,109.0277778
01-06-2019,109.7222222
01-07-2019,110.7638889
01-08-2019,111.1111111
01-09-2019,111.8055556
01-10-2019,112.8472222
01-11-2019,113.8888889
01-12-2019,114.5833333
01-01-2020,114.5833333
01-02-2020,113.8888889
