Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
1981 - 1982,"Goa, Daman & Diu",-0.35,0.61,0.0,0.26,,1.27,,8.67,,,,,,,0.16,2.15,1.89,5.91,,,0.75,,10.91,1.21,0.62,3.69,4.64,97.0,3.0,,29.0,91.0,,,,,,,9.45,0.2,2.24,6.5,0.62,-0.81,0.2,,,4.3,2.21,101.0,,8.12,,,,3.64,-2.17
1981 - 1982,Gujarat,37.95,149.24,20.58,207.75,,50.89,,566.64,,,,,,,37.47,357.83,150.08,638.09,,,148.06,,1281.05,2857.15,99.19,407.44,587.21,6408.0,147.0,,1854.0,5671.0,,,,,,,886.45,18.66,714.41,983.25,3527.55,149.07,31.7,,,239.71,3880.3,6538.0,,4518.39,,,,182.06,416.61
1981 - 1982,Haryana,5.28,4.38,-8.59,1.06,,10.8,,71.78,,,,,,,24.76,7.91,6.86,77.17,,,14.97,,137.96,181.73,-3.95,50.34,66.38,487.0,5.0,,147.0,368.0,,,,,,,88.12,5.82,66.18,71.07,260.32,12.66,1.06,,,31.85,314.2,490.0,,391.37,,,,18.59,-0.71
1981 - 1982,Himachal Pradesh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Jammu & Kashmir,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Karnataka,4.29,8.06,2.25,14.59,,21.04,,145.37,,,,,,,16.0,59.49,44.9,498.63,,,51.73,,410.02,788.42,23.86,386.53,477.58,7071.0,145.0,,2068.0,6350.0,,,,,,,446.71,23.31,264.65,283.95,1076.47,60.52,39.31,,,302.69,1245.61,7182.0,,1744.24,,,,233.08,138.58
1981 - 1982,Kerala,-200.87,256.2,-0.94,54.39,,11.93,,116.44,,,,,,,9.2,61.35,6.94,123.12,,,50.19,,518.75,902.22,-4.99,59.47,111.2,1094.0,18.0,,314.0,882.0,,,,,,,350.37,8.97,402.31,627.32,1028.1,-2.57,1.55,,,53.05,981.95,1096.0,,1105.07,,,,33.57,510.88
1981 - 1982,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Madhya Pradesh,-2.19,53.35,-2.8,48.35,,6.29,,58.56,,,,,,,6.02,75.44,27.09,95.72,,,12.21,,179.52,299.75,20.8,76.13,89.41,749.0,18.0,,187.0,636.0,,,,,,,198.61,2.66,120.96,147.34,453.75,47.8,1.07,,,25.66,369.74,773.0,,465.46,,,,20.68,88.78
1981 - 1982,Maharashtra,201.67,146.71,42.88,391.26,,119.46,,1031.16,,,,,,,124.55,536.33,145.08,2008.57,,,425.75,,3178.02,7171.56,25.61,1383.87,1889.1,14956.0,602.0,,4411.0,12231.0,,,,,,,3526.06,125.34,2146.86,1892.5,9921.23,162.9,79.49,,,1095.62,11680.26,15515.0,,13688.83,,,,758.76,861.34
1981 - 1982,Manipur,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Meghalaya,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Nagaland,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1981 - 1982,Orissa,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Puducherry,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1981 - 1982,Punjab,346.43,76.34,156.12,578.88,,80.03,,663.54,,,,,,,94.33,751.98,173.1,1755.45,,,605.14,,4667.02,9525.91,93.07,1051.97,1675.42,4222.0,277.0,,1237.0,3372.0,,,,,,,4433.01,31.26,4003.48,2493.54,12541.06,704.66,18.32,,,316.04,13783.11,4643.0,,15538.56,,,,225.51,1830.0
1981 - 1982,Rajasthan,-15.29,-13.32,5.47,-23.14,,4.3,,43.78,,,,,,,10.3,-18.19,4.95,64.91,,,13.77,,163.42,308.99,0.65,45.42,60.61,590.0,15.0,,175.0,469.0,,,,,,,142.54,3.64,119.64,114.0,526.51,8.62,1.42,,,33.17,561.98,596.0,,626.89,,,,23.13,70.22
1981 - 1982,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Tamil Nadu,132.55,15.9,27.13,175.55,,94.48,,737.82,,,,,,,53.04,310.2,134.65,1185.02,,,259.14,,2146.45,4991.4,40.17,792.57,1090.54,14128.0,366.0,,3864.0,12512.0,,,,,,,1729.36,36.46,1408.63,1501.02,6905.32,287.07,38.85,,,469.03,6967.97,14499.0,,8152.99,,,,345.58,763.2
1981 - 1982,Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,Tripura,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1981 - 1982,Uttar Pradesh,34.98,42.66,48.22,125.86,,18.64,,158.11,,,,,,,25.93,156.65,30.8,372.14,,,48.98,,341.24,696.67,12.14,302.15,353.49,1556.0,30.0,,474.0,1251.0,,,,,,,236.26,7.41,183.13,181.95,1280.44,200.34,2.36,,,94.4,1071.47,1580.0,,1443.61,,,,53.62,23.84
1981 - 1982,Uttarakhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981 - 1982,West Bengal,47.77,99.65,25.56,172.98,,22.83,,160.38,,,,,,,28.91,210.51,37.52,421.28,,,91.11,,768.09,2022.65,14.7,291.29,398.45,3421.0,106.0,,917.0,2518.0,,,,,,,745.51,20.09,607.71,486.56,2793.07,66.84,16.05,,,204.34,2851.64,3542.0,,3272.92,,,,133.46,326.18
1982 - 1983,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Andhra Pradesh,0.06,-0.23,0.0,-0.17,,0.23,,1.41,,,,,,,0.33,0.01,0.18,7.91,,,0.66,,6.46,32.29,-0.05,6.61,7.68,89.0,5.0,,26.0,80.0,,,,,,,5.12,0.1,5.05,5.8,38.04,3.09,0.41,,,3.42,35.82,95.0,,43.73,,,,2.62,4.39
1982 - 1983,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Assam,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0
1982 - 1983,Bihar,2.34,-1.81,-6.34,-5.8,,0.36,,3.21,,,,,,,4.19,-5.8,0.0,19.43,,,0.0,,18.89,75.84,-0.36,18.9,19.07,455.0,3.0,,130.0,402.0,,,,,,,0.0,0.58,15.68,15.83,106.47,14.93,0.17,,,3.4,80.77,457.0,,100.2,,,,0.14,12.62
1982 - 1983,Chandigarh,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,
1982 - 1983,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,Delhi,18.7,43.37,10.06,72.13,,152.1,,1489.87,,,,,,,153.94,450.66,378.53,2651.02,,,573.53,,3906.36,10210.42,226.44,1791.04,2498.93,10958.0,266.0,,3290.0,7933.0,,,,,,,3728.27,138.18,2416.49,2964.84,17420.39,741.54,134.38,,,911.3,19207.21,11256.0,,21858.23,,,,530.34,1474.97
1982 - 1983,Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982 - 1983,"Goa, Daman & Diu",22.08,-1.93,0.92,21.06,,2.41,,17.58,,,,,,,0.93,26.26,5.2,37.61,,,8.98,,64.96,259.92,2.79,25.15,35.2,311.0,4.0,,96.0,298.0,,,,,,,12.92,1.71,47.38,26.92,290.37,7.96,1.06,,,15.48,267.89,315.0,,305.5,,,,12.98,9.34
1982 - 1983,Gujarat,95.57,283.36,90.57,469.49,,79.72,,808.99,,,,,,,54.23,729.23,259.75,914.77,,,165.58,,1952.14,4461.08,180.04,648.9,835.05,7273.0,114.0,,2201.0,6482.0,,,,,,,1335.25,31.73,1143.15,1324.88,5512.47,263.3,20.58,,,353.88,5457.82,7422.0,,6372.59,,,,264.82,515.89
