Year,State,Addition in Stock of Finished Goods,"Addition in Stock of Materials, Fuels, etc.",Addition in Stock of Semi-Finished Goods,Additions to Total Stock,Bonus to All Staff,Depreciation,Employees Other Than Workers,Fixed Capital,Fuels Consumed - Coal (Quantity),Fuels Consumed - Coal (Value),Fuels Consumed - Electricity (Value),Fuels Consumed - Electricity Purchased (Quantity),Fuels Consumed - Other Fuel (Value),Fuels Consumed - Petroleum Products (Value),Fuels Consumed - Total,Gross Capital Formation,Gross Fixed Capital Formation,Gross Value Added,Gross Value of Addition to Fixed Capital,Gross Value of Plant and Machinery,Interest Paid,Interest Received,Invested Capital,Materials Consumed,Net Fixed Capital Formation,Net Income,Net Value Added,Number of Employees,Number of Factories,Number of Factories in Operation,Number of Mandays - Employees,Number of Workers,Number of Workers - Directly Employed,Number of Workers - Directly Employed - Children,Number of Workers - Directly Employed - Men,Number of Workers - Directly Employed - Women,Number of Workers - Employed Through Contractors,Other Employees,Outstanding Loans,PF and Other Benefits,Physical Working Capital,Productive Capital,Products and By-products,Profits,Rent Paid,Rent Received,Supervisory and Managerial Staff,Total Emoluments,Total Input,Total Persons Engaged,Unpaid family members/proprietor etc,Value of Gross Output,Wages and Salaries - Other Employees,Wages and Salaries - Supervisory and Managerial Staff,Wages and Salaries - Total,Wages and Salaries - Workers,Working Capital
2015 - 2016,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Andhra Pradesh,1170.0,41.0,-196.0,1015.0,477.0,5028.0,1747.0,38507.0,0.0,0.0,4221.12,58137.0,34.19,514.05,4770.0,8646.0,7631.0,50404.0,10615.0,22770.0,1947.0,101.0,51286.0,54212.0,2603.0,42624.0,45375.0,20141.0,55.0,51.0,6737.0,18394.0,17736.0,,4768.0,12968.0,658.0,560.0,10593.0,5104.0,12779.0,56667.0,83759.0,8745.0,948.0,43.0,1187.0,28774.0,70553.0,20182.0,42.0,120957.0,982.0,6783.0,28297.0,20532.0,18160.0
2015 - 2016,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Assam,14.0,24.0,0.0,38.0,1.0,5.0,3.0,34.0,0.0,0.0,3.63,39.0,0.0,0.35,4.0,44.0,6.0,57.0,6.0,0.0,4.0,0.0,125.0,129.0,1.0,47.0,52.0,23.0,5.0,4.0,7.0,20.0,20.0,,11.0,9.0,0.0,0.0,8.0,2.0,91.0,138.0,220.0,30.0,1.0,0.0,3.0,15.0,163.0,26.0,3.0,220.0,0.0,3.0,14.0,11.0,104.0
2015 - 2016,Bihar,-45.0,1.0,0.0,-44.0,0.0,13.0,17.0,325.0,0.0,0.0,5.13,72.0,0.03,7.13,12.0,-16.0,27.0,160.0,27.0,53.0,14.0,0.0,349.0,773.0,14.0,133.0,148.0,129.0,5.0,4.0,38.0,112.0,5.0,,5.0,0.0,107.0,7.0,0.0,3.0,24.0,217.0,953.0,-24.0,1.0,0.0,10.0,154.0,829.0,132.0,3.0,989.0,14.0,44.0,154.0,96.0,-108.0
2015 - 2016,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Chhattisgarh,0.0,-19.0,0.0,-19.0,1.0,7.0,8.0,100.0,0.0,0.0,2.5,34.0,0.0,0.35,3.0,6.0,25.0,231.0,25.0,0.0,3.0,4.0,126.0,1.0,18.0,225.0,224.0,163.0,7.0,7.0,50.0,155.0,155.0,,143.0,12.0,0.0,2.0,8.0,7.0,26.0,282.0,0.0,25.0,2.0,0.0,6.0,191.0,296.0,164.0,1.0,527.0,12.0,24.0,190.0,154.0,182.0
2015 - 2016,Dadra & Nagar Haveli,-302.0,-427.0,-72.0,-801.0,104.0,1027.0,304.0,11581.0,0.0,0.0,126.22,2846.0,0.0,9.77,136.0,-709.0,92.0,3369.0,99.0,7374.0,5069.0,6.0,21119.0,46410.0,-935.0,-2785.0,2342.0,1969.0,6.0,6.0,693.0,1665.0,1427.0,,732.0,695.0,238.0,106.0,15421.0,620.0,9538.0,13009.0,54785.0,-5771.0,67.0,3.0,198.0,2366.0,51621.0,1972.0,3.0,54990.0,132.0,523.0,2262.0,1607.0,1428.0
2015 - 2016,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Daman & Diu,1738.0,1642.0,1452.0,4832.0,918.0,1412.0,1068.0,15363.0,0.0,0.0,903.73,19862.0,92.86,173.32,1170.0,5087.0,254.0,48048.0,947.0,9996.0,1349.0,50.0,39142.0,69361.0,-1158.0,45288.0,46636.0,8795.0,29.0,22.0,2696.0,7727.0,7563.0,,5776.0,1787.0,164.0,609.0,7200.0,1689.0,23779.0,50197.0,128562.0,29414.0,164.0,115.0,459.0,14184.0,85555.0,8795.0,0.0,133603.0,1205.0,2893.0,13267.0,9169.0,34834.0
2015 - 2016,Delhi,-698.0,-4347.0,366.0,-4679.0,2292.0,7074.0,6295.0,72145.0,0.0,0.0,6874.31,74993.0,20.7,2073.01,8968.0,7317.0,11995.0,179716.0,14116.0,16338.0,8433.0,4335.0,157920.0,238340.0,4922.0,164955.0,172643.0,24464.0,555.0,318.0,7432.0,18169.0,16107.0,,14508.0,1599.0,2063.0,3817.0,50155.0,5900.0,85775.0,153209.0,499306.0,108070.0,6403.0,2815.0,2478.0,50984.0,354390.0,24503.0,39.0,534106.0,8379.0,16783.0,48692.0,23530.0,81064.0
2015 - 2016,Goa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.12,26.0,0.0,0.28,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,5.0,3.0,3.0,3.0,1.0,2.0,2.0,,2.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,18.0,1.0,0.0,0.0,0.0,4.0,15.0,5.0,2.0,20.0,2.0,0.0,5.0,3.0,0.0
2015 - 2016,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Gujarat,90.0,2898.0,998.0,3986.0,1063.0,4990.0,3895.0,138075.0,0.0,0.0,3695.88,46922.0,281.16,1275.04,5252.0,9789.0,5805.0,71447.0,7676.0,126033.0,5856.0,475.0,191547.0,176246.0,815.0,58908.0,66458.0,24048.0,351.0,234.0,7331.0,20153.0,17352.0,,11552.0,5800.0,2801.0,1989.0,24449.0,3435.0,53472.0,179240.0,266816.0,18903.0,2323.0,154.0,1906.0,36570.0,242070.0,24139.0,91.0,313517.0,3581.0,7977.0,35506.0,23948.0,41165.0
2015 - 2016,Haryana,-4764.0,-1301.0,3427.0,-2638.0,5986.0,25645.0,15395.0,263982.0,1.0,159.9,19473.98,226300.0,820.86,9684.94,30139.0,30982.0,33619.0,273466.0,37126.0,127415.0,27977.0,2328.0,486407.0,491783.0,7974.0,215523.0,247821.0,96782.0,505.0,324.0,29322.0,81387.0,53445.0,,44277.0,9168.0,27942.0,8397.0,153772.0,18301.0,222424.0,387958.0,945541.0,26630.0,9660.0,3010.0,6998.0,170593.0,816813.0,96786.0,4.0,1090279.0,19584.0,46779.0,164608.0,98245.0,123976.0
2015 - 2016,Himachal Pradesh,-124.0,-27.0,-73.0,-224.0,37.0,233.0,63.0,1420.0,0.0,0.0,89.37,1491.0,0.98,14.64,105.0,-20.0,205.0,3600.0,206.0,1227.0,52.0,0.0,1921.0,2055.0,-27.0,3299.0,3367.0,713.0,12.0,4.0,215.0,650.0,646.0,,444.0,202.0,4.0,25.0,418.0,110.0,502.0,3238.0,6360.0,2466.0,16.0,0.0,38.0,723.0,2761.0,713.0,0.0,6361.0,35.0,87.0,686.0,564.0,1818.0
2015 - 2016,Jammu & Kashmir,234.0,-25.0,-41.0,168.0,92.0,72.0,143.0,512.0,0.0,0.0,39.66,1019.0,0.0,21.78,61.0,240.0,71.0,2871.0,83.0,0.0,6.0,7.0,1941.0,2383.0,0.0,2789.0,2799.0,1001.0,12.0,12.0,304.0,858.0,753.0,,701.0,52.0,105.0,85.0,40.0,47.0,1428.0,3758.0,5698.0,1152.0,11.0,0.0,58.0,1590.0,2856.0,1010.0,10.0,5727.0,109.0,195.0,1497.0,1193.0,3246.0
2015 - 2016,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Karnataka,9694.0,11664.0,25396.0,46754.0,20999.0,36604.0,35050.0,342246.0,0.0,196.1,18986.61,261457.0,2290.27,9868.74,31342.0,94766.0,48011.0,686478.0,57025.0,288393.0,28612.0,2963.0,697034.0,877303.0,11408.0,599855.0,649873.0,292320.0,944.0,626.0,88497.0,257270.0,255291.0,,61002.0,194289.0,1979.0,21151.0,182898.0,58562.0,354788.0,1421710.0,1662474.0,123750.0,25074.0,705.0,13899.0,417544.0,1204566.0,292430.0,110.0,1891044.0,32345.0,89598.0,396544.0,274601.0,1079464.0
2015 - 2016,Kerala,1089.0,-426.0,93.0,756.0,2339.0,2587.0,888.0,22176.0,0.0,0.0,1543.62,24684.0,12.55,693.4,2249.0,1667.0,910.0,35180.0,1002.0,19612.0,1886.0,48.0,28152.0,28270.0,-1676.0,30458.0,32592.0,7977.0,34.0,34.0,2404.0,7089.0,7089.0,,1852.0,5237.0,0.0,418.0,2214.0,1983.0,5976.0,44852.0,62411.0,16105.0,312.0,16.0,470.0,12371.0,37552.0,7981.0,5.0,72732.0,1097.0,1373.0,10032.0,7562.0,22676.0
2015 - 2016,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Madhya Pradesh,389.0,643.0,133.0,1165.0,154.0,523.0,507.0,5549.0,0.0,5.39,457.7,7402.0,0.0,131.96,595.0,1939.0,773.0,5131.0,877.0,1723.0,567.0,16.0,9534.0,11175.0,251.0,3999.0,4607.0,2888.0,38.0,38.0,881.0,2381.0,2262.0,,1460.0,802.0,119.0,186.0,6814.0,800.0,3985.0,6875.0,18532.0,-1305.0,71.0,14.0,321.0,4506.0,17863.0,2903.0,15.0,22994.0,337.0,1633.0,4352.0,2382.0,1326.0
2015 - 2016,Maharashtra,3261.0,15606.0,2085.0,20952.0,6232.0,24831.0,14488.0,208428.0,12.0,796.04,13916.62,156962.0,195.64,1762.64,16671.0,63061.0,42110.0,317440.0,46781.0,59908.0,23704.0,3628.0,396681.0,427890.0,17278.0,238222.0,292609.0,52668.0,1054.0,763.0,16040.0,38180.0,26214.0,,18592.0,7622.0,11968.0,8882.0,128409.0,11343.0,188252.0,561887.0,905697.0,102255.0,38090.0,3779.0,5606.0,124625.0,1143141.0,52926.0,258.0,1460581.0,22034.0,42800.0,118392.0,53558.0,353459.0
2015 - 2016,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Orissa,3.0,15.0,0.0,18.0,7.0,12.0,18.0,105.0,0.0,0.0,16.82,270.0,0.0,1.51,18.0,44.0,26.0,313.0,26.0,58.0,24.0,0.0,253.0,598.0,14.0,277.0,302.0,299.0,3.0,3.0,90.0,281.0,281.0,,261.0,20.0,0.0,4.0,394.0,21.0,148.0,212.0,809.0,-14.0,1.0,0.0,14.0,269.0,659.0,299.0,0.0,972.0,4.0,31.0,262.0,227.0,107.0
2015 - 2016,Puducherry,-39.0,17.0,15.0,-7.0,6.0,28.0,121.0,217.0,0.0,0.0,13.9,109.0,0.0,1.42,15.0,-4.0,4.0,416.0,4.0,76.0,16.0,12.0,416.0,270.0,-24.0,353.0,388.0,347.0,4.0,3.0,102.0,226.0,216.0,,28.0,188.0,10.0,102.0,153.0,66.0,199.0,161.0,684.0,-119.0,31.0,0.0,19.0,406.0,421.0,348.0,1.0,837.0,119.0,94.0,401.0,188.0,-56.0
2015 - 2016,Punjab,3708.0,7700.0,-1427.0,9981.0,3942.0,21423.0,7286.0,157597.0,0.0,14.61,13843.4,182561.0,736.2,6574.25,21169.0,35836.0,25855.0,148030.0,39617.0,102179.0,25745.0,3467.0,368152.0,486686.0,4432.0,98575.0,126608.0,48669.0,869.0,618.0,14831.0,41383.0,41311.0,,37908.0,3403.0,74.0,4844.0,157737.0,5623.0,210556.0,360509.0,705044.0,19378.0,6245.0,491.0,2442.0,73575.0,767032.0,49174.0,506.0,915062.0,8925.0,10685.0,69634.0,50024.0,202912.0
2015 - 2016,Rajasthan,-4411.0,-1627.0,1105.0,-4933.0,817.0,13815.0,3484.0,126321.0,0.0,0.0,4428.99,59369.0,37.09,1312.64,5779.0,37.0,4968.0,84833.0,10313.0,55645.0,5006.0,1391.0,188191.0,101558.0,-8846.0,66229.0,71017.0,20134.0,202.0,169.0,6069.0,16650.0,10533.0,,8112.0,2421.0,6117.0,1501.0,141030.0,2372.0,61870.0,167826.0,247697.0,28132.0,1746.0,572.0,1983.0,35725.0,177933.0,20234.0,100.0,262766.0,2886.0,11282.0,34909.0,20741.0,41505.0
2015 - 2016,Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Tamil Nadu,28446.0,31844.0,11198.0,71488.0,30035.0,74962.0,41556.0,692088.0,1.0,350.6,45609.09,699714.0,4590.08,19077.08,69626.0,217299.0,145813.0,830946.0,161475.0,317586.0,73975.0,12660.0,1311541.0,1901684.0,70851.0,678226.0,755986.0,359026.0,4180.0,2973.0,109156.0,317470.0,297778.0,,135820.0,161958.0,19691.0,24460.0,403474.0,56895.0,619453.0,1081013.0,3336611.0,138246.0,18265.0,1820.0,17096.0,483084.0,2974391.0,359732.0,706.0,3805337.0,50826.0,83391.0,453048.0,318831.0,388925.0
2015 - 2016,Telangana,66.0,57.0,293.0,416.0,370.0,1518.0,714.0,13842.0,0.0,0.0,660.58,9274.0,2.23,162.97,825.0,795.0,380.0,12438.0,622.0,9660.0,1297.0,23.0,23121.0,18163.0,-1137.0,8841.0,10920.0,6165.0,69.0,68.0,1876.0,5451.0,5355.0,,1236.0,4119.0,96.0,384.0,2832.0,1024.0,9280.0,4827.0,30265.0,-91.0,806.0,1.0,330.0,7910.0,28863.0,6199.0,34.0,41301.0,754.0,1579.0,7539.0,5206.0,-9015.0
2015 - 2016,Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015 - 2016,Uttar Pradesh,2658.0,16406.0,3317.0,22381.0,5737.0,19897.0,14865.0,205011.0,1411.0,642.02,16159.68,204638.0,911.21,8001.75,25714.0,50591.0,28209.0,270867.0,32383.0,67607.0,16923.0,2469.0,390496.0,565274.0,8314.0,229176.0,250972.0,89414.0,995.0,679.0,27096.0,74549.0,54553.0,,45630.0,8923.0,19995.0,8037.0,131174.0,14816.0,185485.0,359401.0,1007881.0,59128.0,10029.0,2687.0,6828.0,155231.0,856917.0,89798.0,384.0,1127784.0,19672.0,51676.0,149492.0,78144.0,154390.0
2015 - 2016,Uttarakhand,113.0,722.0,580.0,1415.0,40.0,501.0,208.0,3794.0,0.0,0.0,212.73,4287.0,0.0,71.0,283.0,1737.0,322.0,10405.0,635.0,2939.0,613.0,19.0,9667.0,14717.0,-179.0,9255.0,9904.0,1332.0,10.0,9.0,405.0,1124.0,665.0,,522.0,143.0,459.0,86.0,1505.0,161.0,5873.0,8616.0,24701.0,6761.0,56.0,0.0,122.0,2333.0,18594.0,1332.0,0.0,28999.0,356.0,938.0,2294.0,1000.0,4822.0
2015 - 2016,West Bengal,6607.0,383.0,-5065.0,1925.0,1307.0,9798.0,6032.0,85594.0,0.0,0.0,4991.85,57314.0,605.11,777.76,6375.0,17752.0,15826.0,78709.0,16817.0,54592.0,11987.0,1148.0,219246.0,230887.0,6028.0,47099.0,68911.0,21317.0,249.0,220.0,6357.0,15285.0,9110.0,,7024.0,2086.0,6175.0,4722.0,74478.0,2939.0,133652.0,173799.0,396961.0,6406.0,11017.0,43.0,1310.0,37753.0,369238.0,21354.0,38.0,447947.0,10103.0,10413.0,36447.0,15931.0,88205.0
2016 - 2017,Andaman & Nicobar Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Andhra Pradesh,-1026.0,-1533.0,1271.0,-1288.0,1465.0,6256.0,2419.0,47792.0,0.0,0.0,3345.33,44533.0,359.51,349.76,4054.0,8075.0,9361.0,55635.0,10586.0,32181.0,1597.0,247.0,61640.0,48892.0,3106.0,46813.0,49380.0,22021.0,78.0,66.0,7281.0,19602.0,18952.0,,3698.0,15254.0,650.0,583.0,10407.0,6353.0,13849.0,59505.0,79112.0,7909.0,1217.0,0.0,1836.0,32551.0,68716.0,22047.0,27.0,124351.0,837.0,5466.0,31086.0,24783.0,11713.0
2016 - 2017,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Assam,-3.0,-8.0,0.0,-11.0,1.0,4.0,3.0,30.0,0.0,0.0,3.39,45.0,0.0,0.03,3.0,-14.0,-2.0,61.0,1.0,0.0,5.0,0.0,98.0,159.0,-6.0,52.0,57.0,23.0,4.0,4.0,7.0,20.0,15.0,,6.0,9.0,5.0,2.0,42.0,4.0,68.0,169.0,244.0,29.0,1.0,0.0,1.0,19.0,183.0,25.0,2.0,244.0,2.0,2.0,18.0,14.0,139.0
2016 - 2017,Bihar,-1.0,-2.0,-1.0,-4.0,1.0,15.0,10.0,255.0,0.0,0.0,4.07,62.0,0.05,1.44,6.0,0.0,4.0,46.0,4.0,38.0,1.0,0.0,271.0,46.0,-11.0,29.0,31.0,69.0,4.0,4.0,19.0,59.0,19.0,,19.0,0.0,40.0,5.0,0.0,2.0,15.0,273.0,54.0,-40.0,0.0,0.0,5.0,67.0,65.0,72.0,3.0,111.0,11.0,17.0,66.0,38.0,18.0
2016 - 2017,Chandigarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Chhattisgarh,1.0,38.0,0.0,39.0,0.0,7.0,19.0,107.0,0.0,0.0,1.94,28.0,0.0,0.09,2.0,56.0,18.0,163.0,25.0,2.0,1.0,6.0,178.0,2.0,10.0,158.0,155.0,72.0,7.0,7.0,22.0,53.0,3.0,,3.0,0.0,50.0,9.0,22.0,9.0,71.0,472.0,1.0,52.0,2.0,0.0,10.0,97.0,503.0,73.0,1.0,666.0,15.0,21.0,97.0,61.0,365.0
2016 - 2017,Dadra & Nagar Haveli,279.0,658.0,-6808.0,-5871.0,114.0,920.0,249.0,30792.0,0.0,0.0,246.69,5792.0,0.0,8.86,255.0,-5561.0,309.0,-7738.0,310.0,5454.0,4728.0,1.0,34461.0,27523.0,-612.0,-13493.0,-8658.0,1879.0,7.0,7.0,584.0,1630.0,1254.0,,622.0,632.0,376.0,65.0,24181.0,279.0,3669.0,15241.0,28589.0,-15966.0,108.0,0.0,184.0,2193.0,36605.0,1881.0,2.0,28867.0,101.0,522.0,2080.0,1457.0,-15551.0
2016 - 2017,Dadra & Nagar Haveli & Daman & Diu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Daman & Diu,2391.0,1075.0,570.0,4036.0,732.0,1419.0,902.0,17674.0,0.0,0.0,870.51,18378.0,120.19,139.72,1130.0,7723.0,3686.0,43751.0,3915.0,9780.0,1517.0,119.0,46813.0,74975.0,2268.0,40735.0,42332.0,9177.0,28.0,21.0,2802.0,8275.0,8157.0,,5949.0,2208.0,118.0,512.0,7134.0,1829.0,29139.0,59399.0,146827.0,23522.0,295.0,95.0,390.0,15384.0,109343.0,9178.0,2.0,153094.0,1007.0,2969.0,14652.0,10676.0,41725.0
2016 - 2017,Delhi,67.0,-238.0,-2447.0,-2618.0,2167.0,7124.0,6159.0,77825.0,0.0,0.0,7848.76,81961.0,22.1,1830.94,9702.0,7040.0,9659.0,85705.0,11090.0,15096.0,9044.0,3762.0,162219.0,213722.0,2536.0,69025.0,78582.0,23627.0,466.0,337.0,7185.0,17468.0,15417.0,,13854.0,1563.0,2051.0,3929.0,52303.0,5736.0,84395.0,146473.0,384035.0,8683.0,6490.0,2215.0,2230.0,54605.0,336744.0,23713.0,86.0,422449.0,9487.0,19476.0,52438.0,23475.0,68648.0
2016 - 2017,Goa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.25,27.0,0.0,0.26,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,5.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,,1.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,17.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,0.0,19.0,2.0,0.0,5.0,3.0,2.0
2016 - 2017,"Goa, Daman & Diu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Gujarat,2223.0,2151.0,982.0,5356.0,1579.0,7577.0,3394.0,93724.0,2.0,60.99,4115.77,55499.0,573.64,1066.4,5817.0,45190.0,39834.0,96526.0,42764.0,76268.0,7776.0,444.0,146594.0,159489.0,32257.0,80096.0,88949.0,21919.0,397.0,184.0,6470.0,18525.0,15643.0,,10635.0,5008.0,2882.0,1608.0,69102.0,4574.0,52870.0,144987.0,279935.0,36954.0,1935.0,412.0,1786.0,38569.0,217950.0,21978.0,59.0,314476.0,3588.0,10901.0,36990.0,22501.0,51263.0
2016 - 2017,Haryana,3692.0,56900.0,2030.0,62622.0,9527.0,31579.0,17133.0,420794.0,17.0,1471.23,23201.95,268408.0,230.42,9974.02,34878.0,131366.0,68742.0,335350.0,80439.0,168106.0,25986.0,4570.0,814208.0,546226.0,37163.0,261851.0,303771.0,109373.0,496.0,375.0,33045.0,92240.0,55041.0,,45933.0,9108.0,37200.0,8010.0,247642.0,25748.0,393414.0,631769.0,1082280.0,-5836.0,23041.0,2538.0,9123.0,241940.0,1389434.0,109374.0,1.0,1724784.0,20597.0,92687.0,232412.0,119128.0,210975.0
2016 - 2017,Himachal Pradesh,-237.0,-129.0,28.0,-338.0,48.0,342.0,191.0,2610.0,0.0,0.0,132.82,2089.0,3.67,23.82,161.0,942.0,1281.0,5175.0,1289.0,1403.0,367.0,5.0,4384.0,7365.0,939.0,4389.0,4833.0,1399.0,12.0,9.0,429.0,1208.0,1007.0,,722.0,285.0,201.0,111.0,1591.0,167.0,1774.0,5524.0,14078.0,2422.0,82.0,0.0,80.0,1800.0,8933.0,1402.0,3.0,14108.0,192.0,375.0,1752.0,1185.0,2914.0
2016 - 2017,Jammu & Kashmir,-155.0,-10.0,-2.0,-167.0,63.0,51.0,107.0,391.0,0.0,0.0,33.22,828.0,0.0,25.2,58.0,-120.0,47.0,2067.0,47.0,0.0,8.0,20.0,1314.0,1754.0,-5.0,2019.0,2016.0,717.0,11.0,11.0,217.0,610.0,552.0,,529.0,23.0,58.0,58.0,136.0,49.0,922.0,3081.0,4216.0,910.0,8.0,0.0,49.0,1060.0,2163.0,725.0,9.0,4230.0,70.0,98.0,997.0,829.0,2690.0
2016 - 2017,Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Karnataka,20123.0,-11629.0,3561.0,12055.0,25765.0,35866.0,29055.0,440668.0,4.0,238.4,20821.62,294170.0,2333.24,9977.72,33371.0,75667.0,63612.0,719820.0,71646.0,282814.0,82178.0,4405.0,851496.0,939570.0,27745.0,578056.0,683954.0,297592.0,977.0,647.0,89872.0,268537.0,257006.0,,62478.0,194528.0,11531.0,14918.0,253283.0,64201.0,410829.0,326282.0,1757511.0,53166.0,28567.0,443.0,14137.0,460689.0,1282139.0,297680.0,88.0,2001959.0,31417.0,86365.0,434925.0,317143.0,-114386.0
2016 - 2017,Kerala,77.0,975.0,1327.0,2379.0,1275.0,2233.0,908.0,18986.0,0.0,0.0,1110.17,15291.0,0.05,1095.44,2205.0,3445.0,1067.0,30589.0,1477.0,19017.0,995.0,42.0,25081.0,28004.0,-1167.0,27123.0,28355.0,8376.0,44.0,38.0,2464.0,7468.0,7468.0,,1734.0,5734.0,0.0,532.0,1553.0,2071.0,6095.0,48030.0,59272.0,13973.0,296.0,18.0,376.0,11080.0,36922.0,8384.0,9.0,67511.0,1166.0,1457.0,9803.0,7180.0,29044.0
2016 - 2017,Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Madhya Pradesh,1057.0,-857.0,42.0,242.0,390.0,542.0,554.0,4619.0,0.0,0.0,357.83,4369.0,21.23,141.56,520.0,1415.0,1172.0,9904.0,1642.0,2627.0,587.0,9.0,9308.0,14700.0,630.0,8716.0,9362.0,3681.0,34.0,21.0,1118.0,3127.0,3006.0,,2038.0,968.0,120.0,351.0,2787.0,529.0,4689.0,6109.0,25078.0,2452.0,71.0,3.0,203.0,5735.0,20306.0,3682.0,1.0,30210.0,562.0,1569.0,5344.0,3213.0,1490.0
2016 - 2017,Maharashtra,7034.0,4462.0,-3039.0,8457.0,3608.0,17287.0,10663.0,195601.0,8.0,526.06,10344.36,115485.0,158.6,2020.09,13049.0,53940.0,45485.0,164128.0,49334.0,59270.0,20116.0,2358.0,331078.0,256336.0,28197.0,115629.0,146841.0,38109.0,1037.0,604.0,11580.0,27446.0,23120.0,,14804.0,8316.0,4326.0,7603.0,145926.0,8206.0,135478.0,328644.0,488229.0,17141.0,15793.0,2340.0,3060.0,90281.0,563381.0,38408.0,298.0,727509.0,21593.0,22950.0,86674.0,42131.0,133043.0
2016 - 2017,Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 - 2017,Nagaland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
